cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Pecorino Fiordaliso,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,compact,natural,ivory,"smooth, subtle","aromatic, floral, pronounced",False,False
Crotonese,sheep,Italy,Pecorino,"semi-hard, artisan",High,compact,natural,pale yellow,"salty, savory, strong",spicy,False,False
Lanark White,sheep,Scotland,Pecorino,hard,High,"buttery, crumbly, flaky",natural,pale white,"grassy, milky, nutty, salty","grassy, milky, musty",True,False
Pecorino nel fieno,sheep,Italy,Pecorino,"soft, artisan",Medium,soft,natural,pale yellow,"creamy, nutty, smooth, sweet",earthy,False,False
Pecorino allo Zafferano,sheep,Italy,Pecorino,"semi-hard, artisan",High,"buttery, compact, smooth",natural,yellow,"creamy, floral, mild, sweet","aromatic, rich",False,False
Manchego,sheep,Spain,Pecorino,hard,Medium,"compact, firm",washed,pale yellow,"buttery, nutty",spicy,False,False
Canarejal,sheep,Spain,Pecorino,soft,Medium,"gooey, runny, smooth",bloomy,pale yellow,"buttery, sweet","aromatic, floral",True,False
Pecorino Con Caglio Vegetale,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"compact, creamy",natural,white,"bitter, subtle, vegetal","earthy, pleasant",True,False
Pecorino Pepato Mitica® Aged,sheep,Italy,Pecorino,"semi-firm, artisan",Medium,"creamy, flaky",natural,ivory,"spicy, tangy",spicy,False,False
Pepato,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"creamy, flaky",natural,straw,"salty, spicy",spicy,False,False
Brin d'Amour,sheep,France,Pecorino,"semi-soft, artisan",Medium,"creamy, firm",natural,white,"citrusy, mild",herbal,False,False
Ardi Gasna,sheep,France,Pecorino,"hard, artisan",High,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,False,False
Brebis du Lavort,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, open",natural,ivory,"mild, nutty",earthy,False,False
Pecorino Ortica,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, smooth, soft",leaf wrapped,straw,"herbaceous, piquant, savory, sharp","aromatic, strong",True,False
Bufarolo,water buffalo,Italy,Pecorino,"fresh soft, artisan",High,"chalky, crumbly",rindless,white,"mild, milky, subtle","fresh, mild, milky, pleasant",False,False
Brebis du Lavort,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, open",natural,ivory,"mild, nutty",earthy,False,False
Paški Sir (PDO),sheep,Croatia,Pecorino,"hard, artisan",Medium,"crumbly, flaky, grainy",natural,yellow,"salty, savory, tangy",pleasant,True,False
Paški Sir (PDO),sheep,Croatia,Pecorino,"hard, artisan",Medium,"crumbly, flaky, grainy",natural,yellow,"salty, savory, tangy",pleasant,True,False
P'tit Basque,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, dry, smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",True,False
Baserri,sheep,United States,Pecorino,"semi-hard, artisan",Medium,"creamy, crumbly",rindless,ivory,"milky, tangy","milky, nutty",False,False
Pecorino allo Zafferano,sheep,Italy,Pecorino,"semi-hard, artisan",High,"buttery, compact, smooth",natural,yellow,"creamy, floral, mild, sweet","aromatic, rich",False,False
Malvarosa®,sheep,Spain,Pecorino,"semi-firm, artisan",Medium,"firm, smooth",natural,straw,"buttery, sweet","fresh, rich",False,False
Berkswell,sheep,United Kingdom,Pecorino,hard,High,"chewy, firm",natural,pale yellow,"acidic, mild, milky, spicy",sweet,True,False
San Andreas,sheep,United States,Pecorino,"hard, artisan",Medium,"creamy, firm, open, smooth",natural,straw,"butterscotch, nutty, sweet","clean, mild, rich",True,False
Primo Fresco,sheep,United States,Pecorino,"fresh soft, artisan",Medium,"creamy, fluffy, spreadable",natural,white,"salty, savory, subtle, tangy","fresh, mild",True,False
Byaslag,yak,Mongolia,Pecorino,"fresh soft, artisan",Medium,firm,natural,pale yellow,"creamy, mild, salty",aromatic,True,False
Paglierino,sheep,Italy,Pecorino,semi-hard,Medium,"compact, elastic",natural,pale yellow,"citrusy, spicy, sweet",grassy,False,False
P'tit Basque,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, dry, smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",False,False
Pecorino dei Monaci,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"creamy, smooth",natural,white,"milky, smooth, sweet","milky, sweet",False,False
Cratloe Hills,sheep,Ireland,Pecorino,"hard, artisan",High,"firm, grainy, open",plastic,pale yellow,"mild, nutty, strong, sweet","aromatic, fresh, herbal",True,False
Pecorino Nero,sheep,Italy,Pecorino,"soft, artisan",Medium,"creamy, smooth",natural,ivory,"pungent, subtle","mild, milky",True,False
Pecorino a Latte Crudo,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"compact, crumbly",natural,straw,"piquant, savory, sharp, smooth",strong,True,False
Pecorino Camomilla,sheep,Italy,Pecorino,"semi-soft, artisan",High,"creamy, smooth, soft",natural,white,"creamy, smooth","aromatic, floral",False,False
Paški Sir (PDO),sheep,Croatia,Pecorino,"hard, artisan",Medium,"crumbly, flaky, grainy",natural,yellow,"salty, savory, tangy",pleasant,True,False
Pecorino Pepato Mitica® Aged,sheep,Italy,Pecorino,"semi-firm, artisan",Medium,"creamy, flaky",natural,ivory,"spicy, tangy",spicy,False,False
Pecorino Dei Malatesta Sotto Cenere,sheep,Italy,Pecorino,"semi-soft, artisan",High,smooth,ash coated,white,"smooth, subtle, sweet","fresh, milky",False,False
Bad Axe,sheep,United States,Pecorino,"semi-hard, artisan",High,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,True,False
Ardi Gasna,sheep,France,Pecorino,"hard, artisan",High,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,False,False
Baserri,sheep,United States,Pecorino,"semi-hard, artisan",Medium,"creamy, crumbly",natural,pale yellow,"milky, tangy","milky, nutty",False,False
Calcagno,sheep,Italy,Pecorino,"hard, artisan",High,"firm, flaky, smooth",natural,pale yellow,"herbaceous, savory, sweet",herbal,False,False
Lo Sburrato,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, creamy",natural,straw,"creamy, smooth, sweet",aromatic,False,False
Brin d'Amour,sheep,France,Pecorino,"semi-soft, artisan",Medium,"creamy, firm",natural,white,"citrusy, mild",herbal,False,False
Canarejal,sheep,Spain,Pecorino,soft,Medium,"gooey, runny, smooth",rindless,pale yellow,"acidic, sweet","aromatic, strong",True,False
Pecorino Barba Del Passatore,sheep,Italy,Pecorino,"semi-soft, artisan",High,"buttery, smooth, soft",natural,white,"buttery, smooth","pronounced, strong",False,False
St James,sheep,England,Pecorino,semi-soft,Medium,close,washed,pink and white,meaty,barnyardy,False,False
Pecorino di Vigna,sheep,Italy,Pecorino,"semi-soft, artisan",High,"smooth, soft",leaf wrapped,straw,"herbaceous, smooth","aromatic, herbal",True,False
Pecorino Ortica,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, smooth, soft",leaf wrapped,straw,"herbaceous, piquant, savory, sharp","aromatic, strong",False,False
Pecorino Erica,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, smooth",natural,white,"milky, subtle, sweet","aromatic, floral, strong",False,False
Balfour,sheep,New Zealand,Pecorino,hard,Medium,"crumbly, flaky, grainy",natural,white,"nutty, sweet","clean, mild",False,False
Cratloe Hills,sheep,Ireland,Pecorino,"hard, artisan",High,"firm, grainy, open",plastic,pale yellow,"mild, nutty, strong, sweet",strong,True,False
Canarejal,sheep,Spain,Pecorino,soft,Medium,"gooey, runny, smooth",natural,pale yellow,"buttery, creamy, mild, nutty","goaty, strong",True,False
Pecorino Boccondilatte,sheep,Italy,Pecorino,"semi-hard, artisan",High,crumbly,natural,white,"subtle, sweet",pronounced,True,False
Manchego,sheep,Spain,Pecorino,hard,Medium,"compact, firm",natural,pale yellow,"buttery, nutty","buttery, fresh",True,False
Pecorino,sheep,Italy,Pecorino,hard,High,creamy,natural,pale yellow,"buttery, sweet","floral, fruity",False,False
Caciobufala,water buffalo,Italy,Pecorino,semi-hard,High,compact,natural,ivory,sweet,"aromatic, buttery, pleasant",False,False
Moringhello,water buffalo,Italy,Pecorino,"semi-soft, artisan",Medium,"chalky, crumbly",natural,white,smooth,"pleasant, subtle",False,False
Pepato,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"creamy, flaky",natural,straw,"salty, spicy",spicy,True,False
Pecorino Mallo di Noce,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",natural,white,"milky, nutty, subtle, sweet",nutty,False,False
Malvarosa®,sheep,Spain,Pecorino,"semi-firm, artisan",Medium,"firm, smooth",natural,straw,"buttery, sweet","fresh, rich",False,False
Pecorino Pera,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, smooth",natural,ivory,"fruity, smooth, subtle, sweet","fruity, milky, sweet",False,False
Pecorino Barba Del Passatore,sheep,Italy,Pecorino,"semi-soft, artisan",High,"buttery, smooth, soft",natural,white,"buttery, smooth","pronounced, strong",True,False
Pecorino Con Caglio Vegetale,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"compact, creamy",natural,white,"bitter, subtle, vegetal","earthy, pleasant",True,False
Pecorino Nero,sheep,Italy,Pecorino,"soft, artisan",Medium,"creamy, smooth",rindless,ivory,"pungent, subtle","mild, milky",True,False
Pecorino Gran Riserva Del Passatore,sheep,Italy,Pecorino,"semi-hard, artisan",High,smooth,natural,white,"smooth, sweet","fresh, milky, pleasant",True,False
Bear Hill,sheep,United States,Pecorino,"semi-hard, smear-ripened",Medium,smooth,washed,pale yellow,"fruity, mild, milky, nutty, sweet","pleasant, strong",True,False
Malvarosa®,sheep,Spain,Pecorino,"semi-firm, artisan",Medium,"firm, smooth",natural,straw,"buttery, sweet","fresh, rich",False,False
Malvarosa®,sheep,Spain,Pecorino,"semi-firm, artisan",Medium,"firm, smooth",natural,straw,"buttery, sweet","fresh, rich",False,False
Pecorino Camomilla,sheep,Italy,Pecorino,"semi-soft, artisan",High,"creamy, smooth, soft",natural,white,"creamy, smooth","aromatic, floral",True,False
Mastorazio,sheep,Italy,Pecorino,"hard, artisan",Medium,"compact, dense",natural,pale yellow,"herbaceous, nutty, sharp, spicy","herbal, milky",False,False
Pecorino Nero,sheep,Italy,Pecorino,"soft, artisan",Medium,"creamy, smooth",ash coated,ivory,"pungent, subtle","mild, milky",False,False
Sheep Gouda,sheep,United States,Pecorino,"semi-hard, artisan",High,"compact, crumbly, dense",natural,pale yellow,"caramel, nutty",floral,True,False
Pecorino Nero,sheep,Italy,Pecorino,"soft, artisan",Medium,"creamy, smooth",natural,ivory,"pungent, subtle","mild, milky",True,False
Ardi Gasna,sheep,France,Pecorino,"hard, artisan",High,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,False,False
Lo Sburrato,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, creamy",natural,straw,"creamy, smooth, sweet",aromatic,True,False
Pecorino Nero,sheep,Italy,Pecorino,"soft, artisan",Medium,"creamy, smooth",plastic,ivory,"pungent, subtle","mild, milky",False,False
St James,sheep,England,Pecorino,semi-soft,Medium,close,washed,pink and white,meaty,barnyardy,False,False
Bad Axe,sheep,United States,Pecorino,"semi-hard, artisan",High,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,True,False
Pecorino Toscanello,sheep,Italy,Pecorino,semi-hard,Medium,"creamy, smooth",washed,pale yellow,mild,nutty,False,False
Primo Fresco,sheep,United States,Pecorino,"fresh soft, artisan",Medium,"creamy, fluffy, spreadable",natural,white,"salty, savory, subtle, tangy","fresh, mild",True,False
Lo Sburrato,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, creamy",natural,straw,"creamy, smooth, sweet",aromatic,False,False
Brin d'Amour,sheep,France,Pecorino,"semi-soft, artisan",Medium,"creamy, firm",washed,white,"citrusy, mild",herbal,False,False
Pecorino Nero,sheep,Italy,Pecorino,"soft, artisan",Medium,"creamy, smooth",washed,ivory,"pungent, subtle","mild, milky",False,False
Pecorino a Latte Crudo,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"compact, crumbly",natural,straw,"piquant, savory, sharp, smooth",strong,True,False
Pecorino di Vigna,sheep,Italy,Pecorino,"semi-soft, artisan",High,"smooth, soft",leaf wrapped,straw,"herbaceous, smooth","aromatic, herbal",False,False
Pecorino Camomilla,sheep,Italy,Pecorino,"semi-soft, artisan",High,"creamy, smooth, soft",natural,white,"creamy, smooth","aromatic, floral",False,False
Crotonese,sheep,Italy,Pecorino,"semi-hard, artisan",High,compact,natural,pale yellow,"salty, savory, strong",spicy,False,False
Pecorino Mallo di Noce,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",natural,white,"milky, nutty, subtle, sweet",nutty,False,False
Moringhello,water buffalo,Italy,Pecorino,"semi-soft, artisan",Medium,"chalky, crumbly",natural,white,smooth,"pleasant, subtle",False,False
Pecorino Erica,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, smooth",natural,white,"milky, subtle, sweet","aromatic, floral, strong",True,False
Pecorino Nero,sheep,Italy,Pecorino,"soft, artisan",Medium,"creamy, smooth",bloomy,ivory,"pungent, subtle","mild, milky",False,False
Pecorino in Walnut Leaves,sheep,Italy,Pecorino,"hard, artisan",High,"dense, firm",leaf wrapped,white,"buttery, herbaceous, nutty, sweet","earthy, herbal",False,False
Pecorino Erica,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, smooth",natural,white,"milky, subtle, sweet","aromatic, floral, strong",False,False
Byaslag,yak,Mongolia,Pecorino,"fresh soft, artisan",Medium,firm,natural,pale yellow,"creamy, mild, salty",aromatic,False,False
Pecorino al Tartufo,sheep,Italy,Pecorino,"hard, artisan",High,firm,natural,cream,"sharp, spicy","grassy, nutty",False,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan",Medium,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour",aromatic,True,False
Bad Axe,sheep,United States,Pecorino,"semi-hard, artisan",High,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,True,False
Pecorino Ginepro,sheep,Italy,Pecorino,"semi-hard, artisan",High,"chalky, grainy",natural,pale white,"fruity, savory","fruity, woody",False,False
Pecorino Mallo di Noce,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",natural,white,"milky, nutty, subtle, sweet",nutty,False,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan",Medium,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour",grassy,True,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan",Medium,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour","fresh, rich",True,False
Pecorino Foglie Noci,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",leaf wrapped,white,"earthy, milky, nutty, sweet","fresh, nutty",True,False
Ardi Gasna,sheep,France,Pecorino,"hard, artisan",High,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,False,False
Cinerino,sheep,Italy,Pecorino,"hard, artisan",Medium,flaky,ash coated,ivory,"grassy, herbaceous","herbal, nutty, woody",True,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan",Medium,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour",fresh,True,False
Pecorino Fiordaliso,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,compact,natural,ivory,"smooth, subtle","aromatic, floral, pronounced",False,False
Pecorino Camomilla,sheep,Italy,Pecorino,"semi-soft, artisan",High,"creamy, smooth, soft",natural,white,"creamy, smooth","aromatic, floral",False,False
Moringhello,water buffalo,Italy,Pecorino,"semi-soft, artisan",Medium,"chalky, crumbly",natural,white,smooth,"pleasant, subtle",False,False
Pecorino Toscanello,sheep,Italy,Pecorino,semi-hard,Medium,"creamy, smooth",rindless,pale yellow,mild,nutty,False,False
Moringhello,water buffalo,Italy,Pecorino,"semi-soft, artisan",Medium,"chalky, crumbly",natural,white,smooth,"pleasant, subtle",False,False
Pecorino Romagnolo,sheep,Italy,Pecorino,"semi-hard, artisan",High,"compact, crumbly",natural,ivory,"smooth, subtle",pronounced,True,False
Pecorino Gelsomino,sheep,Italy,Pecorino,"hard, artisan",High,"crumbly, flaky",natural,ivory,"creamy, milky","aromatic, floral",False,False
Sheep Gouda,sheep,United States,Pecorino,"semi-hard, artisan",High,"compact, crumbly, dense",natural,pale yellow,"caramel, nutty","rich, smokey, strong",True,False
Pecorino Ginepro,sheep,Italy,Pecorino,"semi-hard, artisan",High,"chalky, grainy",natural,pale white,"fruity, savory","fruity, woody",False,False
Caws Cenarth Black Sheep,sheep,Wales,Pecorino,semi-hard,Medium,buttery,washed,cream,"buttery, grassy, smooth",strong,True,False
Pecorino al Pepe,sheep,Italy,Pecorino,"semi-soft, artisan",High,"compact, crumbly",natural,cream,"sharp, spicy, strong","pleasant, strong",True,False
Crotonese,sheep,Italy,Pecorino,"semi-hard, artisan",High,compact,natural,pale yellow,"salty, savory, strong",spicy,False,False
Pecorino Romano,sheep,Italy,Pecorino,hard,Medium,"crumbly, grainy",natural,pale yellow,"salty, sharp",strong,False,False
Pecorino Toscanello,sheep,Italy,Pecorino,semi-hard,Medium,"creamy, smooth",rindless,pale yellow,mild,nutty,False,False
Bufarolo,water buffalo,Italy,Pecorino,"fresh soft, artisan",High,"chalky, crumbly",rindless,white,"mild, milky, subtle","fresh, mild, milky, pleasant",False,False
Cave Aged Marisa,sheep,United States,Pecorino,"semi-hard, artisan",Medium,firm,natural,pale yellow,"sweet, tangy",sweet,True,False
San Andreas,sheep,United States,Pecorino,"hard, artisan",Medium,"creamy, firm, open, smooth",natural,straw,"butterscotch, nutty, sweet","clean, mild, rich",True,False
Pecorino Mallo di Noce,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",natural,white,"milky, nutty, subtle, sweet",nutty,False,False
Pecorino Toscanello,sheep,Italy,Pecorino,semi-hard,Medium,"creamy, smooth",mold ripened,pale yellow,mild,nutty,False,False
Bad Axe,sheep,United States,Pecorino,"semi-hard, artisan",High,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,True,False
Classico Pecorino Senese,sheep,Italy,Pecorino,"semi-hard, artisan",High,"buttery, compact, firm",natural,straw,sharp,"aromatic, strong",False,False
Pecorino Mallo di Noce,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",natural,white,"milky, nutty, subtle, sweet",nutty,False,False
Pecorino,sheep,Italy,Pecorino,hard,High,creamy,natural,pale yellow,"lemony, mushroomy",floral,False,False
Cinerino,sheep,Italy,Pecorino,"hard, artisan",Medium,flaky,ash coated,ivory,"grassy, herbaceous","herbal, nutty, woody",True,False
Pecorino Querciaiolo,sheep,Italy,Pecorino,semi-soft,High,smooth,natural,white,"smooth, subtle",strong,False,False
Cinerino,sheep,Italy,Pecorino,"hard, artisan",Medium,flaky,ash coated,ivory,"grassy, herbaceous","herbal, nutty, woody",True,False
Classico Pecorino Senese,sheep,Italy,Pecorino,"semi-hard, artisan",High,"buttery, compact, firm",natural,straw,sharp,"aromatic, strong",False,False
Pepato,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"creamy, flaky",natural,straw,"salty, spicy",spicy,True,False
Pecorino Erica,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"compact, smooth",natural,white,"milky, subtle, sweet","aromatic, floral, strong",True,False
P'tit Basque,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, dry, smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",False,False
Pecorino alla Canapa,sheep,Italy,Pecorino,"semi-soft, artisan",High,smooth,leaf wrapped,white,"herbaceous, smooth","aromatic, herbal",False,False
Pecorino al Tartufo,sheep,Italy,Pecorino,"hard, artisan",High,firm,washed,cream,"sharp, spicy","grassy, nutty",False,False
Ardi Gasna,sheep,France,Pecorino,"hard, artisan",High,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,False,False
Bufarolo,water buffalo,Italy,Pecorino,"fresh soft, artisan",High,"chalky, crumbly",rindless,white,"mild, milky, subtle","fresh, mild, milky, pleasant",False,False
Pecorino Gran Riserva Del Passatore,sheep,Italy,Pecorino,"semi-hard, artisan",High,smooth,natural,white,"smooth, sweet","fresh, milky, pleasant",False,False
Pecorino di Talamello,sheep,Italy,Pecorino,hard,Medium,"compact, crumbly, grainy",washed,white,"earthy, meaty, strong","pungent, rich, strong",False,False
Cratloe Hills,sheep,Ireland,Pecorino,"hard, artisan",High,"firm, grainy, open",plastic,pale yellow,"mild, nutty, strong, sweet","rich, strong",True,False
Meira,sheep,Iraq,Pecorino,semi-hard,Medium,"creamy, smooth",rindless,pale yellow,"spicy, strong",fresh,False,False
Pecorino Barba Del Passatore,sheep,Italy,Pecorino,"semi-soft, artisan",High,"buttery, smooth, soft",natural,white,"buttery, smooth","pronounced, strong",False,False
Berkswell,sheep,United Kingdom,Pecorino,hard,High,"chewy, firm",natural,pale yellow,"mild, nutty",sweet,False,False
Cave Aged Marisa,sheep,United States,Pecorino,"semi-hard, artisan",Medium,firm,natural,pale yellow,"sweet, tangy",sweet,True,False
Pecorino nel fieno,sheep,Italy,Pecorino,"soft, artisan",Medium,soft,natural,pale yellow,"caramel, nutty, woody","grassy, rich",True,False
Azeitao,sheep,Portugal,Pecorino,"semi-soft, artisan",Medium,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour","aromatic, clean, fresh, herbal",True,False
Ardi Gasna,sheep,France,Pecorino,"hard, artisan",High,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,False,False
Pecorino dei Monaci,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"creamy, smooth",natural,white,"milky, smooth, sweet","milky, sweet",True,False
Byaslag,yak,Mongolia,Pecorino,"fresh soft, artisan",Medium,firm,natural,pale yellow,"creamy, mild, salty",aromatic,False,False
Pecorino Romano,sheep,Italy,Pecorino,hard,Medium,"crumbly, grainy",natural,pale yellow,"salty, sharp",strong,False,False
Pecorino a Latte Crudo,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"compact, crumbly",natural,straw,"piquant, savory, sharp, smooth",strong,True,False
Moringhello,water buffalo,Italy,Pecorino,"semi-soft, artisan",Medium,"chalky, crumbly",natural,white,smooth,"pleasant, subtle",False,False
Brin d'Amour,sheep,France,Pecorino,"semi-soft, artisan",Medium,"creamy, firm",natural,white,"citrusy, mild",herbal,True,False
Cinerino,sheep,Italy,Pecorino,"hard, artisan",Medium,flaky,ash coated,ivory,"grassy, herbaceous","herbal, nutty, woody",True,False
Pecorino dei Monaci,sheep,Italy,Pecorino,"semi-soft, artisan",Medium,"creamy, smooth",natural,white,"milky, smooth, sweet","milky, sweet",False,False
Bad Axe,sheep,United States,Pecorino,"semi-hard, artisan",High,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,True,False
Classico Pecorino Senese,sheep,Italy,Pecorino,"semi-hard, artisan",High,"buttery, compact, firm",natural,straw,sharp,"aromatic, strong",False,False
Crotonese,sheep,Italy,Pecorino,"semi-hard, artisan",High,compact,natural,pale yellow,"salty, savory, strong",spicy,False,False
Pecorino Foglie Noci,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",leaf wrapped,white,"earthy, milky, nutty, sweet","fresh, nutty",True,False
P'tit Basque,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, dry, smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",False,False
Crotonese,sheep,Italy,Pecorino,"semi-hard, artisan",High,compact,natural,pale yellow,"salty, savory, strong",spicy,False,False
Sheep Gouda,sheep,United States,Pecorino,"semi-hard, artisan",High,"compact, crumbly, dense",natural,pale yellow,"caramel, nutty","fresh, herbal",False,False
Primo Fresco,sheep,United States,Pecorino,"fresh soft, artisan",Medium,"creamy, fluffy, spreadable",natural,white,"salty, savory, subtle, tangy","fresh, mild",True,False
Pecorino,sheep,Italy,Pecorino,hard,High,creamy,natural,pale yellow,"creamy, full-flavored, milky, smooth",goaty,False,False
Pecorino al Pepe,sheep,Italy,Pecorino,"semi-soft, artisan",High,"compact, crumbly",natural,cream,"sharp, spicy, strong","pleasant, strong",False,False
Cwmtawe Pecorino,sheep,Italy,Pecorino,hard,Medium,creamy,washed,orange,"creamy, mild, nutty",aromatic,True,False
Chura Kampo,yak,"China, Tibet",Pecorino,"hard, artisan",High,"dense, dry, firm",natural,ivory,"nutty, sweet",aromatic,False,False
Pecorino Pera,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, smooth",natural,ivory,"fruity, smooth, subtle, sweet","fruity, milky, sweet",True,False
Pecorino Foglie Noci,sheep,Italy,Pecorino,"semi-hard, artisan",Medium,"crumbly, grainy",leaf wrapped,white,"earthy, milky, nutty, sweet","fresh, nutty",False,False
Paški Sir (PDO),sheep,Croatia,Pecorino,"hard, artisan",Medium,"crumbly, flaky, grainy",natural,yellow,"salty, savory, tangy",pleasant,False,False
Pecorino Nel Granaio,sheep,Italy,Pecorino,"semi-soft, artisan",High,"creamy, crumbly, smooth, soft",natural,pale yellow,creamy,"rich, strong",False,False
Pecorino allo Zafferano,sheep,Italy,Pecorino,"semi-hard, artisan",High,"buttery, compact, smooth",natural,yellow,"creamy, floral, mild, sweet","aromatic, rich",True,False
P'tit Basque,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, dry, smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",False,False
Pecorino Romagnolo,sheep,Italy,Pecorino,"semi-hard, artisan",High,"compact, crumbly",natural,ivory,"smooth, subtle",pronounced,True,False
P'tit Basque,sheep,France,Pecorino,"semi-hard, artisan",High,"creamy, dry, smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",True,False
Calcagno,sheep,Italy,Pecorino,"hard, artisan",High,"firm, flaky, smooth",natural,pale yellow,"herbaceous, savory, sweet",herbal,False,False
Montasio Vecchio,cow,Italy,Gouda,"semi-firm, artisan",High,creamy,natural,pale yellow,sharp,strong,False,False
Benedictine,"cow, goat, sheep",United States,Gouda,"semi-hard, artisan",High,creamy,washed,yellow,"creamy, meaty, mushroomy, nutty",strong,False,False
Processed Smoked Gouda,cow,United States,Gouda,"semi-hard, processed",High,creamy,natural,straw,"creamy, mild, smokey",smokey,False,False
Blarney Castle,cow,Ireland,Gouda,semi-soft,High,creamy,natural,golden yellow,"smooth, tangy",spicy,False,False
Brimstone,cow,United States,Gouda,"semi-hard, artisan",High,crumbly,rindless,pale yellow,"smooth, spicy",spicy,True,False
Alverca,"goat, sheep",Portugal,Gouda,semi-hard,High,"buttery, compact, firm",washed,yellow,"buttery, citrusy, nutty, sharp",mild,False,False
Boeren-Leidse met sleutels,cow,Netherlands,Gouda,"hard, artisan",High,"crumbly, firm",waxed,yellow,"fruity, spicy","aromatic, rich",False,False
Moonglo,goat,United States,Gouda,"semi-hard, artisan",High,"dense, firm, open",washed,ivory,"caramel, citrusy, fruity, nutty, sharp, tangy","aromatic, goaty",False,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,High,"crumbly, crystalline, dense",waxed,yellow,"creamy, salty, sweet",rich,True,False
Coolea,cow,Ireland,Gouda,hard,High,firm,waxed,white,sweet,"rich, strong",True,False
LaClare Farms Evalon with Fenugreek,goat,United States,Gouda,"semi-hard, artisan",High,creamy,natural,pale yellow,mild,goaty,True,False
Aged Gouda,"cow, goat, sheep",Netherlands,Gouda,hard,High,"crumbly, crystalline, dense",waxed,yellow,"nutty, sharp, sweet",rich,False,False
